Accuracy, Total Time, L1+L2+L3 Time, L4 Time, L5 Time, Result Time
0.9739, 0.60997, 0.30917, 0.13314, 0.15485, 0.01249
0.9739, 0.60986, 0.30916, 0.13291, 0.15477, 0.01249
0.9739, 0.6098, 0.30912, 0.13308, 0.15477, 0.01248
0.9739, 0.61039, 0.3094, 0.1332, 0.15485, 0.01248
0.9739, 0.60993, 0.30912, 0.13308, 0.15478, 0.01243
0.9739, 0.60973, 0.30919, 0.13309, 0.15463, 0.01246
0.9739, 0.61029, 0.30931, 0.13312, 0.15501, 0.01251
0.9739, 0.61078, 0.30937, 0.13341, 0.1551, 0.01256
0.9739, 0.61016, 0.30934, 0.1331, 0.1549, 0.01251
0.9739, 0.60987, 0.30913, 0.13306, 0.15489, 0.01246
0.9739, 0.60996, 0.30912, 0.13317, 0.15487, 0.01246
0.9739, 0.60974, 0.30908, 0.13303, 0.15474, 0.01248
0.9739, 0.61014, 0.30933, 0.13315, 0.15486, 0.01248
0.9739, 0.61039, 0.30939, 0.13317, 0.15494, 0.01257
0.9739, 0.60991, 0.30921, 0.13304, 0.15494, 0.01239
0.9739, 0.61037, 0.30916, 0.13321, 0.15513, 0.01253
0.9739, 0.60982, 0.30919, 0.13302, 0.1547, 0.01245
0.9739, 0.61021, 0.30931, 0.13301, 0.15508, 0.01247
0.9739, 0.61035, 0.30933, 0.13321, 0.15499, 0.0125
0.9739, 0.61027, 0.30939, 0.13316, 0.15488, 0.01251
0.9739, 0.61009, 0.30926, 0.13313, 0.15483, 0.01251
0.9739, 0.6099, 0.30917, 0.13305, 0.15488, 0.01247
0.9739, 0.60934, 0.30909, 0.13295, 0.15465, 0.01228
0.9739, 0.60906, 0.30899, 0.13278, 0.15443, 0.01231
0.9739, 0.61018, 0.30932, 0.13324, 0.15492, 0.01238
0.9739, 0.61018, 0.30925, 0.13316, 0.15496, 0.01249
0.9739, 0.61031, 0.30929, 0.13319, 0.15501, 0.0125
0.9739, 0.61034, 0.30926, 0.13328, 0.155, 0.01247
0.9739, 0.60971, 0.30905, 0.13311, 0.15471, 0.01245
0.9739, 0.60998, 0.3091, 0.13308, 0.15498, 0.01247
0.9739, 0.61002, 0.30931, 0.13292, 0.1548, 0.0125
0.9739, 0.61023, 0.30934, 0.1331, 0.15496, 0.01251
0.9739, 0.60982, 0.309, 0.13313, 0.15476, 0.01248
0.9739, 0.60967, 0.30899, 0.13317, 0.15473, 0.01246
0.9739, 0.60946, 0.30886, 0.13309, 0.15462, 0.01251
0.9739, 0.6096, 0.30882, 0.13316, 0.15477, 0.0125
0.9739, 0.6099, 0.30894, 0.13317, 0.15488, 0.01251
0.9739, 0.61005, 0.30913, 0.13325, 0.15484, 0.01249
0.9739, 0.60953, 0.30892, 0.13307, 0.15469, 0.01246
0.9739, 0.60961, 0.30901, 0.13303, 0.15481, 0.01238
0.9739, 0.60993, 0.309, 0.13314, 0.15494, 0.01247
0.9739, 0.61022, 0.30941, 0.13315, 0.15497, 0.01236
0.9739, 0.61046, 0.30924, 0.13324, 0.15512, 0.01253
0.9739, 0.60996, 0.30909, 0.13301, 0.1549, 0.01259
0.9739, 0.61021, 0.30927, 0.13319, 0.15492, 0.0125
0.9739, 0.6103, 0.30928, 0.13318, 0.155, 0.01249
0.9739, 0.60976, 0.30909, 0.13307, 0.15481, 0.01247
0.9739, 0.60993, 0.30911, 0.13305, 0.1549, 0.01251
0.9739, 0.61042, 0.30908, 0.13331, 0.15509, 0.0126
0.9739, 0.6101, 0.30912, 0.1331, 0.15501, 0.01254
0.9739, 0.61006, 0.30905, 0.13332, 0.15485, 0.01249
0.9739, 0.60949, 0.30898, 0.13301, 0.15467, 0.01248
0.9739, 0.61017, 0.30931, 0.13316, 0.15489, 0.01249
0.9739, 0.60972, 0.30919, 0.13304, 0.15472, 0.01242
0.9739, 0.61036, 0.30929, 0.13317, 0.15501, 0.01251
0.9739, 0.61026, 0.30927, 0.13324, 0.15494, 0.01248
0.9739, 0.60992, 0.30912, 0.13318, 0.15484, 0.01244
0.9739, 0.61013, 0.30921, 0.13319, 0.15485, 0.01248
0.9739, 0.61038, 0.30925, 0.13327, 0.15503, 0.0125
0.9739, 0.60959, 0.30903, 0.13301, 0.1547, 0.0125
0.9739, 0.60963, 0.30912, 0.133, 0.1547, 0.01238
0.9739, 0.61041, 0.30938, 0.13317, 0.15495, 0.01255
0.9739, 0.61, 0.30911, 0.13316, 0.15482, 0.01256
0.9739, 0.61005, 0.30918, 0.13317, 0.15488, 0.0125
0.9739, 0.60949, 0.30896, 0.13311, 0.15465, 0.01243
